"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/06/2025","314","382","400","312","250,46M","-14,21%"
"01/05/2025","366","304","380","294","129,03M","19,61%"
"01/04/2025","306","280","332","268","31,50M","1,32%"
"01/03/2025","302","270","308","270","46,77M","12,69%"
"01/02/2025","268","314","314","262","43,38M","-14,65%"
"01/01/2025","314","308","330","300","25,24M","1,95%"
"01/12/2024","308","312","366","302","54,13M","-1,28%"
"01/11/2024","312","388","392","312","85,41M","-19,59%"
"01/10/2024","388","418","430","388","105,48M","-7,18%"
"01/09/2024","418","424","438","410","68,97M","-0,95%"
"01/08/2024","422","408","458","380","166,80M","3,43%"
"01/07/2024","408","486","498","402","208,68M","-15,00%"
